Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
380,0.1067972,0.123444,0.056054265,0.12778985,0.09038912,0.12401754
381,0.10945582,0.12738921,0.057618466,0.13130838,0.093953594,0.12886753
382,0.11370117,0.13101186,0.059403645,0.1356097,0.098671338,0.13362653
383,0.11677046,0.13574003,0.060567584,0.14027038,0.10235987,0.13842896
384,0.12027181,0.14051713,0.062489398,0.14566538,0.10793485,0.1452532
385,0.12459138,0.14644116,0.063979778,0.15070617,0.11299941,0.15162947
386,0.12966636,0.15142093,0.065854869,0.15643669,0.11898842,0.15870973
387,0.13433637,0.15762611,0.067531328,0.16448558,0.12649962,0.16614641
388,0.13866048,0.16459386,0.069291518,0.17174763,0.13386858,0.17494316
389,0.14399386,0.17209594,0.071073812,0.17957131,0.14215036,0.18409124
390,0.14972271,0.18037452,0.072743997,0.18823366,0.15068047,0.19395172
391,0.15525448,0.18850159,0.074514194,0.19702137,0.16097507,0.20447975
392,0.16149052,0.19725179,0.076006886,0.20682097,0.17127213,0.21523085
393,0.1667012,0.20729741,0.077951946,0.2166698,0.1818912,0.22802953
394,0.17289576,0.21645265,0.079211591,0.22657744,0.19383579,0.23842597
395,0.17780636,0.2260552,0.079874442,0.23643722,0.20507274,0.25096406
396,0.18276399,0.23532055,0.081778009,0.24737919,0.21674017,0.26282102
397,0.18738957,0.24534402,0.081758932,0.25818113,0.22888594,0.2734268
398,0.19155401,0.25342356,0.082522701,0.26732788,0.24045808,0.28557058
399,0.19588554,0.26289757,0.083686568,0.27526236,0.2518245,0.29477038
400,0.19963335,0.27223141,0.083559707,0.2860516,0.26442412,0.30440953
401,0.20431746,0.28051737,0.08381217,0.29430189,0.27484917,0.3136304
402,0.20670364,0.28672915,0.084197921,0.30135352,0.28468946,0.32192807
403,0.20883848,0.29407945,0.084415321,0.30866889,0.29467873,0.33144405
404,0.21022859,0.30135911,0.084763654,0.3148606,0.30464099,0.33687106
405,0.21386796,0.30512675,0.084856599,0.32031548,0.31191173,0.34126832
406,0.21548179,0.31039855,0.085112578,0.32368282,0.31921718,0.34510216
407,0.21690728,0.31575398,0.084929196,0.32769735,0.32748831,0.34889213
408,0.21764302,0.31858086,0.084969711,0.33190325,0.33342263,0.35154023
409,0.2184955,0.32287374,0.084380688,0.334839,0.33757215,0.35306495
410,0.21896077,0.32666465,0.084364574,0.33603797,0.34232868,0.35427343
411,0.22068736,0.32829438,0.084069823,0.33874586,0.34728078,0.35723244
412,0.22079164,0.33253775,0.083666808,0.34057521,0.35028767,0.35815477
413,0.22124496,0.33373132,0.083968223,0.34099284,0.35410743,0.35858707
414,0.22188174,0.33471499,0.083451969,0.3439591,0.35686101,0.35830041
415,0.22194342,0.33571637,0.083043707,0.34409658,0.3599888,0.3577047
416,0.2218997,0.33804677,0.082756419,0.3451027,0.36248788,0.35813247
417,0.22244598,0.33933811,0.082804672,0.34524345,0.36563147,0.359061
418,0.22304346,0.33972019,0.082625456,0.34559551,0.36862875,0.35722483
419,0.22285623,0.34149538,0.08256462,0.34675628,0.36992161,0.35904139
420,0.22346161,0.34347476,0.082060923,0.34752173,0.37237588,0.35883686
421,0.22321357,0.34439459,0.08167907,0.34702768,0.37456252,0.35842859
422,0.22348398,0.34647462,0.081513976,0.34688613,0.37629184,0.35863312
423,0.22352169,0.34993574,0.081088842,0.347237,0.37827953,0.35803345
424,0.22380461,0.35092743,0.081429264,0.34696446,0.38029323,0.35859946
425,0.2242828,0.35305208,0.081297057,0.34756188,0.38217864,0.35854
426,0.22415656,0.35365429,0.081204336,0.34964236,0.38326502,0.35825527
427,0.2244943,0.35702206,0.080641453,0.34945826,0.38628479,0.35910027
428,0.22459122,0.35733698,0.080687237,0.34975739,0.38682254,0.35814899
429,0.22551411,0.35931645,0.080236611,0.34962036,0.38875382,0.35839985
430,0.22554785,0.36167893,0.079927806,0.34902456,0.39029705,0.35813603
431,0.22507773,0.36243334,0.080656209,0.3508376,0.39205506,0.35939887
432,0.22745249,0.36372379,0.080370885,0.34975864,0.39393222,0.3598598
433,0.22634802,0.3668914,0.079948775,0.35049795,0.39336719,0.35845282
434,0.22689669,0.36949996,0.079930833,0.35048045,0.39542527,0.35951711
435,0.22677513,0.37164233,0.079854243,0.35047788,0.39519498,0.35994654
436,0.22743456,0.37418702,0.080140366,0.35094608,0.39664432,0.36117336
437,0.2277208,0.37578817,0.079488345,0.35114854,0.39752798,0.36092651
438,0.22833272,0.37746537,0.080175088,0.35139364,0.39788962,0.360807
439,0.22830316,0.38054969,0.079887755,0.35134294,0.39932072,0.36219963
440,0.22852906,0.38406727,0.080143917,0.35101498,0.39778659,0.36184681
441,0.22931745,0.38463459,0.079996824,0.3520796,0.39892855,0.36346595
442,0.22954147,0.3883503,0.080096873,0.35139846,0.3972268,0.36253194
443,0.22926709,0.39008121,0.080128682,0.35164077,0.39781226,0.36306434
444,0.23022899,0.39271772,0.080265882,0.35172395,0.39680012,0.3632152
445,0.22910212,0.39652134,0.080174408,0.3532376,0.39728848,0.3634826
446,0.22999843,0.39838939,0.080110729,0.35319912,0.39463557,0.36495595
447,0.22966852,0.40215986,0.080221463,0.35307326,0.39418216,0.36511738
448,0.22985943,0.40513392,0.080324141,0.35313864,0.39199773,0.36454125
449,0.22983906,0.40770857,0.080367204,0.35407831,0.39181282,0.36442276
450,0.2303146,0.41249756,0.080792481,0.35456751,0.38839478,0.3635085
